time [s] ,T [C] ,p-p_amb [bar] ,v_H2 [slm] ,v_CO2 [slm] ,v_Ar [slm] ,x_H2 [%] ,x_CO2 [%] ,x_CO [%] ,x_O2 [%] ,x_CH4 [%] ,Ar MFC sp [slm],H2 MFC sp [slm],CO2 MFC sp [slm]
0.0,800.734516,0.008862,0.0,0.0,0.0,-0.03232872285025875,0.000589,-0.000918,-0.002139,0.0,0.0,0.0,0.0
0.61223,800.734516,0.008862,0.0,0.0,0.0,-0.0323601118480789,0.000589,-0.000918,-0.002139,0.0,0.0,0.0,0.0
1.612652,800.734516,0.008862,0.0,0.0,0.0,-0.03230272605828918,0.000589,-0.000918,-0.002139,0.0,0.0,0.0,0.0
2.612037,800.734516,0.008862,0.0,0.0,0.0,-0.03231297119858478,0.000589,-0.000918,-0.002139,0.0,0.0,0.0,0.0
3.612247,800.734516,0.008862,0.0,0.0,0.0,-0.03233141483686554,0.000589,-0.000918,-0.002139,0.0,0.0,0.0,0.0
4.612552,800.734516,0.008862,0.0,0.0,0.0,-0.03230884394705685,0.000589,-0.000918,-0.002139,0.0,0.0,0.0,0.0
5.612926,800.727997,0.004815,0.0,0.0,0.0,-0.0328746713639688,0.000589,-0.001738,-0.001627,0.0,0.0,0.0,0.0
6.612355,800.722483,0.004385,0.0,0.0,0.0,-0.0341774182053042,0.000384,-0.002148,-0.001115,0.0,0.0,0.0,0.0
7.612704,800.720353,0.004173,0.0,0.0,0.0,-0.03500764727012279,0.000589,-0.002353,-0.002652,0.0,0.0,0.0,0.0
8.612536,800.73351,0.005263,0.0,0.0,0.0,-0.0314888792507898,0.000179,-0.002763,-0.003677,0.0,0.0,0.0,0.0
9.612146,800.735498,0.005822,0.0,0.0,0.0,-0.033352299932051604,0.000179,-0.002763,-0.003677,0.0,0.0,0.0,0.0
10.61384,800.734956,0.004691,0.0,0.0,0.0,-0.033759224584909535,-0.000641,-0.001943,-0.002652,0.0,0.0,0.0,0.0
11.611978,800.736835,0.005685,0.0,0.0,0.0,-0.03437831794130179,0.000384,-0.002968,-0.002139,0.0,0.0,0.0,0.0
12.61209,800.747496,0.004785,0.0,0.0,0.0,-0.034589467444768075,0.000589,-0.002353,-0.003677,0.0,0.0,0.0,0.0
13.612647,800.752547,0.003981,0.0,0.0,0.0,-0.03453617108985236,0.000384,-0.002353,-0.004189,0.0,0.0,0.0,0.0
14.61271,800.768825,0.004815,0.0,0.0,0.0,-0.033935512155931026,0.000589,-0.001943,-0.001627,0.0,0.3,0.0,0.0
15.613062,800.756917,0.016122,0.0,0.0,0.006476,-0.03357163138006751,0.000999,-0.002148,-0.002652,0.0,0.3,0.0,0.0
16.612096,800.766554,0.022892,0.0,0.0,0.249266,-0.031068666318115012,0.000179,-0.002763,-0.002652,0.0,0.3,0.0,0.0
17.612507,800.776929,0.027757,0.0,0.0,0.284873,-0.03278859264503283,0.000384,-0.001738,-0.001115,0.0,0.3,0.0,0.0
18.612615,800.781139,0.029237,0.0,0.0,0.295017,-0.03256921711409637,-0.000846,-0.002558,-0.006239,0.0,0.3,0.0,0.0
19.613938,800.780899,0.028899,0.0,0.0,0.296603,-0.032560970705247806,0.000384,-0.001943,-0.003677,0.0,0.3,0.0,0.0
20.612654,800.797153,0.02926,0.0,0.0,0.298675,-0.03355322267450916,-0.001051,-0.002148,-0.006239,0.0,0.3,0.0,0.0
21.611973,800.805172,0.029495,0.0,0.0,0.299611,-0.0282406550043038,0.000384,-0.003583,-0.003677,0.0,0.3,0.0,0.0
22.613485,800.796354,0.03007,0.0,0.0,0.299918,-0.03004677286210342,-2.579813e-05,-0.001738,-0.003677,0.0,0.3,0.0,0.0
23.613842,800.803559,0.030353,0.0,0.0,0.299043,-0.02645407478462892,0.000384,-0.002763,-0.004189,0.0,0.3,0.0,0.0
24.612034,800.828465,0.030157,0.0,0.0,0.30032,-0.02518927630993227,0.000384,-0.002353,-0.002652,0.0,0.3,0.0,0.0
25.613029,800.796112,0.029982,0.0,0.0,0.299467,-0.023503193919419175,0.000384,-0.001943,-0.002139,0.0,0.3,0.0,0.0
26.612682,800.814068,0.030969,0.0,0.0,0.300331,-0.027631821000859036,0.000384,-0.002558,-0.002139,0.0,0.3,0.0,0.0
27.613421,800.817641,0.03121,0.0,0.0,0.299802,-0.027038367259100467,0.000179,-0.002353,-0.003164,0.0,0.3,0.0,0.0
